term,total_results,total_articles,proportion
Article,12142640,172474820,0.07040239265070693
Advertising,1530959,46760923,0.032740136459667404
Family Notices,1484162,2022235,0.7339216263193942
"Detailed Lists, Results, Guides",619606,27680567,0.02238415130730523
Humour,16253,36592,0.44416812418014867
Obituaries,14789,16252,0.909980310115678
Literature,14013,37714,0.37155963302752293
News,12078,16063,0.7519143372968935
"Law, Courts, And Crime",9918,13983,0.709289851963098
Sport And Games,7696,20586,0.3738463033129311
Letters,5371,14548,0.369191641462744
Editorial,3596,18007,0.19970011662131393
Arts And Culture,3274,4607,0.7106576948122423
Shipping Notices,2434,3252,0.7484624846248462
Reviews,2408,3297,0.7303609341825902
Commerce And Business,2290,5748,0.39839944328462074
Puzzles,2126,51352,0.041400529677519865
Weather,1676,17197,0.09745885910333198
Classified Advertisements And Notices,1485,1657,0.896197948098974
Official Appointments And Notices,1276,1293,0.9868522815158546
Display Advertisement,465,504,0.9226190476190477
