id,title,title_url,articles_with_corrections,total_articles,percentage_with_corrections
1755,"The Sruss-Sruss (Crawley, WA : 1931)",http://nla.gov.au/nla.news-title1755,0,64,0.0
1883,The Mount Ararat Advertiser (Vic. : 1857),http://nla.gov.au/nla.news-title1883,0,17,0.0
1733,The Morwell Advocate and Boolara and Mirboo Chronicle (Vic. : 1886),http://nla.gov.au/nla.news-title1733,0,33,0.0
1894,Hill End and Tambaroora Times and Miners' Advocate (NSW : 1871 - 1875),http://nla.gov.au/nla.news-title1894,0,99,0.0
1792,"The Elswood Observer (Cottesloe, WA : 1931)",http://nla.gov.au/nla.news-title1792,0,269,0.0
1892,"The Sunny Corner Silver Press and Miners' Advocate (Mitchell, NSW :  1886)",http://nla.gov.au/nla.news-title1892,0,42,0.0
1741,"The Herald of Tasmania (Hobart, Tas. : 1845)",http://nla.gov.au/nla.news-title1741,0,50,0.0
1805,The Maylands and Bayswater Chronicle (WA : 1905),http://nla.gov.au/nla.news-title1805,0,145,0.0
1806,"Common Wealth (Perth, WA : 1933)",http://nla.gov.au/nla.news-title1806,0,48,0.0
1876,Australijos Lietuvis = The Australian Lithuanian (SA : 1948 - 1956),http://nla.gov.au/nla.news-title1876,1,11187,0.008938946992044337
1776,"The Jewish Post (Melbourne, Vic. : 1949 - 1966)",http://nla.gov.au/nla.news-title1776,6,55983,0.010717539252987515
1889,The Berry Register and Kangaroo Valley and South Coast Farmer (NSW : 1892; 1894; 1898 - 1905),http://nla.gov.au/nla.news-title1889,3,16407,0.0182848784055586
1777,"The Australian Jewish Post (St. Kilda, Vic. : 1966 - 1968)",http://nla.gov.au/nla.news-title1777,1,5065,0.019743336623889437
1890,The Bega District News (NSW : 1923 - 1955),http://nla.gov.au/nla.news-title1890,42,155447,0.027018855301163738
1888,"The Broughton Creek Register, and Kangaroo Valley and South Coast Farmer (Berry, NSW : 1896 - 1890)",http://nla.gov.au/nla.news-title1888,2,7057,0.028340654669122858
1686,"Australier Leben = Australian Life (Melbourne, Vic. : 1931 - 1933)",http://nla.gov.au/nla.news-title1686,2,3816,0.052410901467505246
1887,"Broughton Creek Mail  (Berry, NSW : 1880 - 1881; 1891 - 1893; 1899 - 1907)",http://nla.gov.au/nla.news-title1887,6,10017,0.05989817310572028
1846,"Daily Commercial News and Shipping List (Perth, WA : 1927 - 1934)",http://nla.gov.au/nla.news-title1846,99,122062,0.0811063230161721
1592,"To Ethnico Vema = Greek National Tribune (Arncliffe, NSW : 1931 - 1954)",http://nla.gov.au/nla.news-title1592,64,62861,0.10181193426766993
1852,"Daily Mirror (Sydney, NSW : 1941 - 1955)",http://nla.gov.au/nla.news-title1852,6031,4791318,0.12587350703919048
1891,"Hills and Valley Messenger (Port Adelaide, SA : 1984 - 2011)",http://nla.gov.au/nla.news-title1891,163,123264,0.13223650051921082
1875,"The Seasider (Christies Beach, SA : 1956 - 1963)",http://nla.gov.au/nla.news-title1875,15,9901,0.1514998485001515
1893,The Captain's Flat Mining Record (NSW : 1898),http://nla.gov.au/nla.news-title1893,2,999,0.20020020020020018
1593,"Vil'na Dumka = Free Thought (Sydney, NSW : 1949 - 1954)",http://nla.gov.au/nla.news-title1593,24,11607,0.20677177565262342
1594,"Musu Pastoge = Our Haven (Sydney, NSW : 1950 - 1954)",http://nla.gov.au/nla.news-title1594,20,9060,0.22075055187637968
1389,"Hellenic Echo (Perth, WA : 1967 - 1968)",http://nla.gov.au/nla.news-title1389,1,448,0.2232142857142857
1879,The South-East Kingston Leader (SA : 1962 - 1976),http://nla.gov.au/nla.news-title1879,93,37668,0.2468939152596368
1748,The Cronulla-Sutherland Advocate (NSW : 1927 - 1939),http://nla.gov.au/nla.news-title1748,48,19231,0.249597004835942
1595,"Italo-Australian (Sydney, NSW : 1927 - 1940)",http://nla.gov.au/nla.news-title1595,98,38986,0.25137228748781615
1760,"Dalgety's Review (Perth, WA : 1926 - 1948)",http://nla.gov.au/nla.news-title1760,165,65171,0.2531800954412239
1813,"The Pastoral Times (South Deniliquin, NSW : 1866 - 1912; 1921 - 1923; 1926 - 1931; 1941 - 1950)",http://nla.gov.au/nla.news-title1813,803,280351,0.28642665801085065
1191,"The Sun News-Pictorial (Melbourne, Vic. : 1922 - 1954; 1956)",http://nla.gov.au/nla.news-title1191,8093,2724668,0.2970270139334407
1885,The Ararat and Mount Pleasant Creek Advertiser and Chronicle for the District of the Wimmera (Vic. : 1861 - 1873),http://nla.gov.au/nla.news-title1885,93,31285,0.29726706089180116
1873,"The Standard (Port Adelaide, SA : 1959 - 1965)",http://nla.gov.au/nla.news-title1873,85,27970,0.3038970325348588
1786,"Baileys Weekly (Perth, WA : 1933 - 1934)",http://nla.gov.au/nla.news-title1786,18,5602,0.32131381649410923
1878,The Braidwood Express and People's Advocate (NSW : 1904 - 1907),http://nla.gov.au/nla.news-title1878,75,22429,0.3343885148691426
1711,"The Northern Districts Courier (North Adelaide, SA : 1925 - 1927)",http://nla.gov.au/nla.news-title1711,3,885,0.3389830508474576
1877,The Braidwood and Araluen Express and People's Advocate (NSW : 1899 - 1904),http://nla.gov.au/nla.news-title1877,103,29422,0.35007817279586706
1825,The Yarrawonga Mercury and Southern Riverina Advertiser (Vic. : 1897 - 1905; 1913 - 1927),http://nla.gov.au/nla.news-title1825,368,103870,0.3542890151150477
1597,"L'Italo-Australiano = The Italo-Australian (Sydney, NSW : 1905 - 1909)",http://nla.gov.au/nla.news-title1597,22,6106,0.3603013429413692
1884,The Mount Ararat Advertiser and Chronicle for the District of the Wimmera (Vic. : 1857 - 1861),http://nla.gov.au/nla.news-title1884,35,8814,0.3970955298388926
1518,"Dampier Herald and Bencubbin Chronicle (Wyalkatchem, W.A. : 1937 - 1943)",http://nla.gov.au/nla.news-title1518,59,14610,0.4038329911019849
1817,"The Western Chronicle (Perth, WA. : 1923)",http://nla.gov.au/nla.news-title1817,11,2655,0.4143126177024482
1598,"Oceania (Sydney, NSW : 1913 - 1915)",http://nla.gov.au/nla.news-title1598,9,2167,0.4153207198892478
1849,Dubbo Dispatch (NSW : 1942),http://nla.gov.au/nla.news-title1849,45,10426,0.4316132745060426
1630,"The Inland Watch (Leonora, WA : 1937 - 1943)",http://nla.gov.au/nla.news-title1630,125,28725,0.4351610095735422
1380,"Stampa Italiana = The Italian Press (Perth, WA : 1931 - 1932)",http://nla.gov.au/nla.news-title1380,11,2493,0.4412354592860008
1880,The Braidwood News and Southern Goldfields General Advertiser (NSW : 1864),http://nla.gov.au/nla.news-title1880,8,1772,0.4514672686230248
1645,"Norseman Advertiser (Coolgardie, WA : 1935 - 1936)",http://nla.gov.au/nla.news-title1645,36,7892,0.456158134820071
1749,"The Observer (Cronulla, NSW : 1939 - 1954)",http://nla.gov.au/nla.news-title1749,201,43721,0.4597333089362092
1794,Claremont-Cottesloe Herald (WA. : 1922 - 1923),http://nla.gov.au/nla.news-title1794,2,435,0.45977011494252873
1650,"The North Coolgardie Herald (Menzies, WA : 1904 - 1911)",http://nla.gov.au/nla.news-title1650,184,37515,0.4904704784752766
1603,"Italian Bulletin of Commerce (Sydney, NSW : 1929 - 1935)",http://nla.gov.au/nla.news-title1603,9,1775,0.5070422535211268
1629,"The Harvey-Waroona Mail (Collie, WA : 1931 - 1956)",http://nla.gov.au/nla.news-title1629,452,88827,0.5088542897992727
1834,"The Gippsland Daily News (Bairnsdale, Vic. : 1890 - 1894)",http://nla.gov.au/nla.news-title1834,119,23359,0.5094396164219359
1602,"Italian Bulletin of Australia (Sydney, NSW : 1922 - 1928, 1935 - 1940)",http://nla.gov.au/nla.news-title1602,24,4697,0.5109644453906749
1871,"The Journal : Glengarry, Toongabbie and Cowwarr Journal (Traralgon, Vic. : 1923 - 1929)",http://nla.gov.au/nla.news-title1871,193,36951,0.5223133338745907
1632,Kulin Advocate and Dudinin-Jitarning Harrismith Recorder (WA : 1934 - 1940),http://nla.gov.au/nla.news-title1632,59,10856,0.5434782608695652
1874,"The People's Weekly (Moonta, SA: 1890 - 1928)",http://nla.gov.au/nla.news-title1874,450,81234,0.5539552404165743
1544,"The Northern Grazier and Miner (Leonora, WA : 1929 - 1944)",http://nla.gov.au/nla.news-title1544,444,79991,0.5550624445250091
1666,"The W.A. Sportsman (Kalgoorlie, WA : 1901 - 1902)",http://nla.gov.au/nla.news-title1666,23,4129,0.5570356018406394
1807,"The Groper (Perth, WA : 1930 - 1937)",http://nla.gov.au/nla.news-title1807,109,18983,0.5741979666016962
1566,"Dampier Herald (Wyalkatchem, W.A. : 1928 - 1937)",http://nla.gov.au/nla.news-title1566,125,21507,0.5812061189380202
1747,"Saturday Evening Express (Launceston, Tas. : 1924 - 1954)",http://nla.gov.au/nla.news-title1747,1051,180509,0.5822424366652078
1381,"The Voice of Freedom = Elefthera Phoni (Perth, WA : 1956 - 1957)",http://nla.gov.au/nla.news-title1381,3,511,0.5870841487279843
