term,total_results,total_articles,proportion
1803,526,526,1.0
1804,619,619,1.0
1805,430,430,1.0
1806,367,367,1.0
1807,134,134,1.0
1808,155,155,1.0
1809,237,237,1.0
1810,274,274,1.0
1811,228,228,1.0
1812,215,215,1.0
1813,234,234,1.0
1814,239,239,1.0
1815,226,226,1.0
1816,644,644,1.0
1817,1067,1068,0.9990636704119851
1818,1249,1249,1.0
1819,1152,1152,1.0
1820,1275,1275,1.0
1821,1005,1005,1.0
1822,1033,1033,1.0
1823,1156,1156,1.0
1824,1646,1646,1.0
1825,3366,3366,1.0
1826,5169,5201,0.9938473370505672
1827,5429,6693,0.81114597340505
1828,4939,7335,0.6733469665985004
1829,5631,8935,0.6302182428651371
1830,5351,8977,0.5960788682187813
1831,5894,10989,0.5363545363545363
1832,6855,14814,0.4627379505872823
1833,7604,15622,0.4867494558955319
1834,8593,18704,0.45942044482463645
1835,10783,20389,0.5288636029231448
1836,10064,20553,0.48966087675765096
1837,10442,21805,0.4788809905984866
1838,11703,25911,0.4516614565242561
1839,15188,32876,0.4619783428640954
1840,18434,42411,0.4346513876117045
1841,17792,46377,0.3836384414688315
1842,19154,47934,0.39959110443526513
1843,16717,49913,0.33492276561216516
1844,16165,54331,0.29752811470431245
1845,17818,63389,0.28108977898373533
1846,17967,62153,0.28907695525557897
1847,17979,62767,0.2864403269233833
1848,19117,63463,0.3012306383246931
1849,21973,62794,0.3499219670669172
1850,23691,81624,0.2902455160246986
1851,25327,96566,0.2622765776774434
1852,23079,79960,0.288631815907954
1853,29399,96033,0.3061343496506409
1854,33603,118895,0.2826275284915261
1855,40599,159935,0.2538468752930878
1856,41054,168695,0.24336228103974628
1857,42813,175982,0.24328056278483026
1858,45132,182050,0.24790991485855535
1859,51985,208543,0.24927712749888511
1860,52034,221733,0.2346696251798334
1861,53231,245273,0.21702755704867638
1862,48492,252981,0.19168237930911808
1863,52601,260291,0.2020853583105063
1864,53693,274076,0.1959055152585414
1865,56703,292157,0.19408400277932755
1866,56155,297673,0.18864660214396334
1867,56266,306399,0.18363636957039678
1868,54976,315179,0.1744278648006371
1869,57998,337323,0.1719360968567219
1870,64761,385289,0.1680842173018176
1871,56987,371982,0.15319827303471673
1872,60034,397020,0.15121152586771447
1873,66976,430691,0.15550824140741273
1874,69916,445748,0.1568509561456249
1875,70200,482469,0.14550157626707622
1876,70208,494060,0.14210419787070397
1877,73267,509249,0.14387264383435217
1878,75447,579536,0.13018518262886172
1879,76929,623357,0.12341082236984585
1880,82090,635861,0.12910054241414398
1881,79814,679154,0.11751973779142875
1882,86615,764271,0.11333021925468846
1883,90474,795970,0.11366508788019648
1884,95722,898376,0.10655004140805187
1885,96775,952777,0.10157151148694815
1886,101577,1031192,0.09850444921993189
1887,102888,1070273,0.0961324820863462
1888,110852,1201006,0.09229928909597454
1889,123713,1288503,0.09601297009009681
1890,127160,1403249,0.09061827230947608
1891,125622,1473337,0.08526358871052583
1892,126465,1532205,0.08253791104976162
1893,124898,1560089,0.08005825308684313
1894,124253,1620538,0.07667391940207512
1895,126922,1735897,0.0731160892610564
1896,131411,1854117,0.07087524681560009
1897,134477,1968276,0.06832222716732816
1898,144702,2197298,0.0658545176849021
1899,162618,2376388,0.06843074447438718
1900,184183,2610865,0.07054481943723631
1901,179692,2708059,0.06635453658875232
1902,176331,2766355,0.06374127687878092
1903,170544,2800366,0.06090061084872477
1904,167901,2964274,0.05664152504120739
1905,171003,3095183,0.05524810649321866
1906,178940,3136799,0.05704541476836737
1907,193643,3295230,0.0587646385836497
1908,196333,3396203,0.05780955967590865
1909,196985,3453773,0.05703472694933917
1910,205207,3686929,0.05565797442804025
1911,201662,3813205,0.05288517139781365
1912,215542,3968854,0.05430837213966551
1913,213321,4040744,0.052792505538583986
1914,280519,4680512,0.059933400448497945
1915,307181,4783530,0.06421638413472895
1916,277434,4369287,0.06349640112906293
1917,257274,4262301,0.06036035465350758
1918,253410,4040965,0.06271026846310225
1919,209766,3558241,0.05895216203736622
1920,180331,3304747,0.05456726339414182
1921,173256,3485308,0.049710384275937734
1922,179902,3635068,0.04949068353054193
1923,204701,3944282,0.051898165496280436
1924,211997,4249519,0.049887293126586796
1925,210526,4231795,0.049748629127828736
1926,210927,4226596,0.049904698722092196
1927,219778,4321841,0.05085286571162613
1928,222109,4441252,0.05001044750444244
1929,247270,4661832,0.05304137944052896
1930,229100,4505395,0.050850147434353704
1931,202301,4119730,0.04910540253851587
1932,202516,4134954,0.04897660288361128
1933,219817,4320822,0.05087388464509762
1934,232261,4457622,0.05210423853794691
1935,222345,4552116,0.04884431767556011
1936,218823,4632922,0.04723217874162354
1937,213507,4618274,0.04623090791061769
1938,217885,4616705,0.0471949149880705
1939,221494,4387229,0.050486081305534766
1940,206802,3727884,0.05547436561867269
1941,178903,3544118,0.05047884974484484
1942,189477,2876239,0.06587665350480262
1943,158242,2518510,0.06283159487157089
1944,150143,2572344,0.05836816537757003
1945,186533,2706482,0.06892083523925155
1946,164589,3245556,0.05071211219279532
1947,158274,3364328,0.04704475901279542
1948,155875,3035944,0.05134317365537704
1949,201704,3452282,0.05842628151466189
1950,192504,3498296,0.05502793359967253
1951,155502,3244584,0.0479266371282112
1952,158004,3340005,0.04730651600820957
1953,170117,3558036,0.047812051367664636
1954,208080,3508671,0.05930450589411204
1955,27609,395406,0.06982443362012716
1956,20272,229324,0.08839894646875164
1957,11212,153132,0.07321787738682967
1958,9795,153484,0.06381772692919131
1959,12765,153425,0.08320026071370376
1960,9940,154646,0.06427582996003776
1961,8295,151751,0.05466191326581044
1962,8704,156236,0.05571059166901354
1963,7581,167154,0.045353386697297104
1964,7951,167801,0.04738350784560283
1965,8629,177093,0.048725810732214145
1966,8237,160897,0.05119424227922211
1967,7910,155832,0.05075979259715591
1968,7638,157330,0.048547638721159345
1969,10489,179517,0.05842900672359721
1970,11772,193249,0.06091622725085253
1971,11414,195749,0.058309365565085904
1972,11854,179093,0.06618907494988638
1973,10658,180806,0.05894715883322456
1974,8531,179385,0.047556930624076704
1975,8956,168395,0.05318447697378188
1976,7491,169153,0.04428535113181557
1977,7760,170625,0.04547985347985348
1978,7318,175661,0.04165978788689578
1979,8015,184844,0.043360888100235875
1980,9331,185923,0.050187443188847
1981,7264,164070,0.044273785579325896
1982,10727,153396,0.06993011551800568
1983,5995,141802,0.042277259841187007
1984,6438,146493,0.04394749237164916
1985,6864,155564,0.044123319019824636
1986,6970,152788,0.045618765871665315
1987,7459,133503,0.05587140363886954
1988,8989,143213,0.06276664827913667
1989,9822,146122,0.06721780430051601
1990,10762,138585,0.07765631201067937
1991,10701,139257,0.07684353389775739
1992,11289,159414,0.07081561217960781
1993,11663,160603,0.07262006313705223
1994,12543,155783,0.08051584575980691
1995,13884,154299,0.08998114051290028
1996,1982,69400,0.028559077809798272
1997,2444,73218,0.0333797700019121
1998,2870,80878,0.03548554613120997
1999,4133,90368,0.04573521600566572
2000,3723,68823,0.05409528791247112
2001,3354,67114,0.04997466996453795
2002,3676,68169,0.05392480452991829
2003,2553,33361,0.07652648301909415
2004,1772,30793,0.057545546065664276
2005,1443,26677,0.05409153952843273
2006,1717,26179,0.06558692081439321
2007,1979,27726,0.07137704681526365
2008,1469,26158,0.05615872773147794
2009,506,14340,0.03528591352859135
2010,635,14750,0.04305084745762712
2011,659,15228,0.043275545048594696
2012,729,8112,0.08986686390532544
2013,695,8358,0.08315386456089974
2014,698,8077,0.08641822458833726
2015,813,8255,0.09848576620230164
2016,237,4665,0.05080385852090032
2017,322,4184,0.07695984703632887
2018,212,3506,0.06046776953793497
2019,373,3314,0.11255280627640314
